"fuel_clean","fuel_label","year","emissions_kg","generation_mwh","ef_kg_per_mwh","plants"
"가스","Gas",2015,16259933.0183,64618490,0.251629727316438,15
"무연탄","Anthracite",2015,1887368.9591,4911001,0.384314513293726,2
"유연탄","Bituminous coal",2015,51488351.3967,165714841,0.310704527645173,6
"중유","Heavy oil",2015,802900,4051302,0.198183201351072,3
"가스","Gas",2016,16294921.0448,64615638,0.252182312968882,15
"무연탄","Anthracite",2016,2273050.4182,5026856,0.452181327294834,2
"유연탄","Bituminous coal",2016,47298219.9475,163715276,0.288905355096491,6
"중유","Heavy oil",2016,904318,7159246,0.126314698503166,4
"가스","Gas",2017,13271042.495,79194274.613924,0.167575781957686,35
"무연탄","Anthracite",2017,2361097.16,3875965.526,0.609163612050145,2
"유연탄","Bituminous coal",2017,46362679.164,197500345.49979,0.234747331943525,10
"중유","Heavy oil",2017,768751,2057038.6,0.373717342980341,2
"가스","Gas",2018,6269110.58,63374468.928413,0.0989217059488342,16
"무연탄","Anthracite",2018,1767616.959,2677039.928,0.660287857686372,2
"유연탄","Bituminous coal",2018,42705189.423,203372639.578242,0.209984929691441,10
"중유","Heavy oil",2018,157542,1275493.9,0.123514506811832,1
"가스","Gas",2019,4522720.406,54758678.36908,0.0825936735637834,14
"가스 | 경유","Gas | Diesel",2019,212800,580611.208,0.366510320620611,1
"경유","Diesel",2019,3000,310586.248,0.00965915271303319,1
"무연탄","Anthracite",2019,1892561.844,2592225.311,0.73009156880345,1
"유연탄","Bituminous coal",2019,30274576.747,193603919.840606,0.15637377989002,10
"가스","Gas",2020,2945992.024,59176273.853681,0.049783330922191,15
"경유","Diesel",2020,43100,1436803.244,0.0299971483082203,2
"무연탄","Anthracite",2020,1449661.908,2094210.184671,0.692223693023316,1
"유연탄","Bituminous coal",2020,19906480.088,163113958.006242,0.122040322798361,10
"가스","Gas",2021,2262834.427,73457395.910803,0.0308047188297784,17
"무연탄","Anthracite",2021,1268647.528,1853783.217917,0.684355924543061,1
"유류","Oil",2021,87840,118189.516487,0.74321312592612,1
"유연탄","Bituminous coal",2021,19548629.979,158811137.534859,0.123093570655327,10
"가스","Gas",2022,1688500.147,58429964.99829,0.02889784628571,16
"무연탄","Anthracite",2022,1263349.273,1870759.847001,0.675313442837286,1
"유류","Oil",2022,80563,246770.229876,0.326469688181116,1
"유연탄","Bituminous coal",2022,16424423.986,150633728.18581,0.10903550077271,9
"가스","Gas",2023,1627565,49846702.3481,0.0326514076825794,16
"무연탄","Anthracite",2023,1114831.519,1875887.586,0.594295483013021,1
"유류","Oil",2023,48876,311671.57959,0.156818918376503,2
"유연탄","Bituminous coal",2023,14772563,135643959.8092,0.108906898772193,9
"LNG","LNG",2024,2339587,65812381.173799,0.0355493443372237,31
"기타","Other",2024,6161,59123.643203,0.104205351129096,1
"무연탄","Anthracite",2024,257900,1990754.017999,0.12954890341461,1
"석탄","Coal",2024,1183580,5887688.376325,0.201026264358572,9
"유류","Oil",2024,78693,77560.035336,1.0146075831334,2
"유연탄","Bituminous coal",2024,14205179,140237146.01602,0.10129398239734,11
