"energy_type_clean","date","emissions_kg","generation_mwh","emissions_kg_ma6"
"oil_and_natural_gas",2005-01-01,518000,900595,518000
"oil_and_natural_gas",2005-02-01,326800,763260,422400
"oil_and_natural_gas",2005-03-01,488900,949981,444566.666666667
"oil_and_natural_gas",2005-04-01,445300,767757,444750
"oil_and_natural_gas",2005-05-01,222600,500886,400320
"oil_and_natural_gas",2005-06-01,59600,132487,343533.333333333
"oil_and_natural_gas",2005-07-01,88500,175300,271950
"oil_and_natural_gas",2005-08-01,68500,110614,228900
"oil_and_natural_gas",2005-09-01,80100,151597,160766.666666667
"oil_and_natural_gas",2005-10-01,91000,173328,101716.666666667
"oil_and_natural_gas",2005-11-01,166100,328795,92300
"oil_and_natural_gas",2005-12-01,251700,543355,124316.666666667
"oil_and_natural_gas",2006-01-01,324700,812268,163683.333333333
"oil_and_natural_gas",2006-02-01,197500,408155,185183.333333333
"oil_and_natural_gas",2006-03-01,227300,509331,209716.666666667
"oil_and_natural_gas",2006-04-01,121500,274349,214800
"oil_and_natural_gas",2006-05-01,35900,90889,193100
"oil_and_natural_gas",2006-06-01,85800,166573,165450
"oil_and_natural_gas",2006-07-01,60300,136359,121383.333333333
"oil_and_natural_gas",2006-08-01,156100,332585,114483.333333333
"oil_and_natural_gas",2006-09-01,107300,199363,94483.3333333333
"oil_and_natural_gas",2006-10-01,61700,128286,84516.6666666667
"oil_and_natural_gas",2006-11-01,481000,865920,158700
"oil_and_natural_gas",2006-12-01,780700,942364,274516.666666667
"oil_and_natural_gas",2007-01-01,548000,701266,355800
"oil_and_natural_gas",2007-02-01,577300,645803,426000
"oil_and_natural_gas",2007-03-01,453800,542861,483750
"oil_and_natural_gas",2007-04-01,377200,527961,536333.333333333
"oil_and_natural_gas",2007-05-01,600200,870944,556200
"oil_and_natural_gas",2007-06-01,230500,397967,464500
"oil_and_natural_gas",2007-07-01,149700,239819,398116.666666667
"oil_and_natural_gas",2007-08-01,118300,168333,321616.666666667
"oil_and_natural_gas",2007-09-01,101800,189007,262950
"oil_and_natural_gas",2007-10-01,129800,256360,221716.666666667
"oil_and_natural_gas",2007-11-01,122600,245844,142116.666666667
"oil_and_natural_gas",2007-12-01,157400,319585,129933.333333333
"coal",2008-01-01,987200,2977918,987200
"oil_and_natural_gas",2008-01-01,206000,439102,139316.666666667
"coal",2008-02-01,854000,2557468,920600
"oil_and_natural_gas",2008-02-01,189100,379351,151116.666666667
"coal",2008-03-01,862300,2665043,901166.666666667
"oil_and_natural_gas",2008-03-01,103700,199047,151433.333333333
"coal",2008-04-01,776800,2565437,870075
"oil_and_natural_gas",2008-04-01,31500,72390,135050
"coal",2008-05-01,861600,2653026,868380
"oil_and_natural_gas",2008-05-01,24400,49678,118683.333333333
"coal",2008-06-01,916700,2863845,876433.333333333
"oil_and_natural_gas",2008-06-01,30700,65831,97566.6666666667
"coal",2008-07-01,1159500,2955328,905150
"oil_and_natural_gas",2008-07-01,180000,320331,93233.3333333333
"coal",2008-08-01,1195000,2963656,961983.333333333
"oil_and_natural_gas",2008-08-01,20100,42880,65066.6666666667
"coal",2008-09-01,1074700,2579673,997383.333333333
"oil_and_natural_gas",2008-09-01,31900,64641,53100
"coal",2008-10-01,1019600,2620621,1037850
"oil_and_natural_gas",2008-10-01,44100,90271,55200
"coal",2008-11-01,886900,2623665,1042066.66666667
"oil_and_natural_gas",2008-11-01,20800,48510,54600
"coal",2008-12-01,806900,2808384,1023766.66666667
"oil_and_natural_gas",2008-12-01,92600,162576,64916.6666666667
"coal",2009-01-01,804500,3011422,964600
"oil_and_natural_gas",2009-01-01,381900,536368,98566.6666666667
"coal",2009-02-01,812600,2531510,900866.666666667
"oil_and_natural_gas",2009-02-01,349000,591106,153383.333333333
"coal",2009-03-01,941500,2738554,878666.666666667
"oil_and_natural_gas",2009-03-01,290400,472467,196466.666666667
"coal",2009-04-01,880700,2430528,855516.666666667
"oil_and_natural_gas",2009-04-01,358800,609351,248916.666666667
"coal",2009-05-01,651200,2441095,816233.333333333
"oil_and_natural_gas",2009-05-01,152200,279249,270816.666666667
"coal",2009-06-01,698000,2721464,798083.333333333
"oil_and_natural_gas",2009-06-01,7800,26586,256683.333333333
"coal",2009-07-01,935800,2943018,819966.666666667
"oil_and_natural_gas",2009-07-01,14200,32115,195400
"coal",2009-08-01,976500,2938397,847283.333333333
"oil_and_natural_gas",2009-08-01,61100,132280,147416.666666667
"coal",2009-09-01,838000,2932563,830033.333333333
"oil_and_natural_gas",2009-09-01,20200,42624,102383.333333333
"coal",2009-10-01,775100,2764861,812433.333333333
"oil_and_natural_gas",2009-10-01,7000,19199,43750
"coal",2009-11-01,803700,2959010,837850
"oil_and_natural_gas",2009-11-01,154000,382463,44050
"coal",2009-12-01,613600,2670587,823783.333333333
"oil_and_natural_gas",2009-12-01,211200,520415,77950
"bio_oil_and_diesel",2010-01-01,18744,112324.9,18744
"coal",2010-01-01,2505124.5072,9600710.079,1085337.41786667
"natural_gas",2010-01-01,0,2289997.683,0
"oil",2010-01-01,243200.9408,510233.93,243200.9408
"oil_and_natural_gas",2010-01-01,219200,556787,112116.666666667
"bio_oil_and_diesel",2010-02-01,18245,106096.5,18494.5
"coal",2010-02-01,2155611.29,8295897.658,1281855.9662
"natural_gas",2010-02-01,0,1933989.355,0
"oil",2010-02-01,161503.3823,395714.646,202352.16155
"oil_and_natural_gas",2010-02-01,104100,316897,119283.333333333
"bio_oil_and_diesel",2010-03-01,20443,111928,19144
"coal",2010-03-01,2352652.8722,8922005.184,1534298.11156667
"natural_gas",2010-03-01,0,2243116.556,0
"oil",2010-03-01,193983.2213,366105.804,199562.5148
"oil_and_natural_gas",2010-03-01,152500,402506,141333.333333333
"bio_oil_and_diesel",2010-04-01,16307,97263.7,18434.75
"coal",2010-04-01,2033461.2001,7793134.598,1744024.97825
"natural_gas",2010-04-01,0,1845111.062,0
"oil",2010-04-01,73165.1957,238168.204,167963.185025
"oil_and_natural_gas",2010-04-01,76500,199693,152916.666666667
"bio_oil_and_diesel",2010-05-01,15728,110292.1,17893.4
"coal",2010-05-01,2189211.241,7900901.967,1974943.51841667
"natural_gas",2010-05-01,0,1635452.505,0
"oil",2010-05-01,58711.6631,200965.168,146112.88064
"oil_and_natural_gas",2010-05-01,74300,189862,139633.333333333
"bio_oil_and_diesel",2010-06-01,18053,113800.7,17920
"coal",2010-06-01,2061129.4191,8466356.814,2216198.4216
"natural_gas",2010-06-01,0,1635569.607,0
"oil",2010-06-01,139463.8124,254753.469,145004.7026
"oil_and_natural_gas",2010-06-01,72900,155532,116583.333333333
"bio_oil_and_diesel",2010-07-01,20119,109452.5,18149.1666666667
"coal",2010-07-01,3183315.339,9535802.557,2329230.2269
"natural_gas",2010-07-01,0,1509215.728,0
"oil",2010-07-01,203580.4608,340937.092,138401.289266667
"oil_and_natural_gas",2010-07-01,92800,189444,95516.6666666667
"bio_oil_and_diesel",2010-08-01,22001,119718,18775.1666666667
"coal",2010-08-01,3346134.5172,9743592.528,2527650.76476667
"natural_gas",2010-08-01,0,1502368.608,0
"oil",2010-08-01,164790.0089,336358.798,138949.060366667
"oil_and_natural_gas",2010-08-01,137800,233223,101133.333333333
"bio_oil_and_diesel",2010-09-01,16484,98102,18115.3333333333
"coal",2010-09-01,2633002.781,8827682.951,2574375.74956667
"natural_gas",2010-09-01,0,1400951.041,0
"oil",2010-09-01,126747.6007,218616.339,127743.1236
"oil_and_natural_gas",2010-09-01,108200,186502,93750
"bio_oil_and_diesel",2010-10-01,8676,67453.9,16843.5
"coal",2010-10-01,2294635.7177,8715955.928,2617904.83583333
"natural_gas",2010-10-01,0,1246416.962,0
"oil",2010-10-01,54296.5277,118962.363,124598.3456
"oil_and_natural_gas",2010-10-01,48600,86847,89100
"bio_oil_and_diesel",2010-11-01,19469,115135.9,17467
"coal",2010-11-01,2818008.8048,8693029.666,2722704.4298
"natural_gas",2010-11-01,0,1883908.382,0
"oil",2010-11-01,6348.1105,12475.252,115871.086833333
"oil_and_natural_gas",2010-11-01,89500,159238,91633.3333333333
"bio_oil_and_diesel",2010-12-01,18996,113177.5,17624.1666666667
"coal",2010-12-01,2620412.4381,9084906.48,2815918.2663
"natural_gas",2010-12-01,0,2610977.407,0
"oil",2010-12-01,312104.3923,442661.844,144644.516816667
"oil_and_natural_gas",2010-12-01,259100,469585,122666.666666667
"bio_oil_and_diesel",2011-01-01,21805,119814.5,17905.1666666667
"coal",2011-01-01,2343964.6182,9661630.548,2676026.4795
"natural_gas",2011-01-01,0,3064794.586,0
"oil",2011-01-01,468899.2062,821544.252,188864.307716667
"oil_and_natural_gas",2011-01-01,324800,606971,161333.333333333
"bio_oil_and_diesel",2011-02-01,16385,97014.6,16969.1666666667
"coal",2011-02-01,2248823.4163,8270466.699,2493141.29601667
"natural_gas",2011-02-01,0,2053557.912,0
"oil",2011-02-01,186957.3328,360292.407,192558.8617
"oil_and_natural_gas",2011-02-01,112400,210557,157100
"bio_oil_and_diesel",2011-03-01,21262,117877.6,17765.5
"coal",2011-03-01,2436331.9231,8826774.621,2460362.8197
"natural_gas",2011-03-01,0,2333401.22,0
"oil",2011-03-01,279625.7969,542130.697,218038.561066667
"oil_and_natural_gas",2011-03-01,161700,273978,166016.666666667
"bio_oil_and_diesel",2011-04-01,20770,104419.1,19781.1666666667
"coal",2011-04-01,1988669.9229,7962411.121,2409368.52056667
"natural_gas",2011-04-01,0,2088667.537,0
"oil",2011-04-01,19410.2606,57202.948,212224.183216667
"oil_and_natural_gas",2011-04-01,93300,258353,173466.666666667
"bio_oil_and_diesel",2011-05-01,19880,106204.9,19849.6666666667
"coal",2011-05-01,1952364.4021,7932640.042,2265094.45345
"natural_gas",2011-05-01,0,1514043.597,0
"oil_and_natural_gas",2011-05-01,13000,64999,160716.666666667
"bio_oil_and_diesel",2011-06-01,21299,109019.9,20233.5
"coal",2011-06-01,2456236.812,8276996.31,2237731.8491
"natural_gas",2011-06-01,0,1686210.282,0
"oil",2011-06-01,211931.568,300922.093,246488.0928
"oil_and_natural_gas",2011-06-01,81600,257417,131133.333333333
"bio_oil_and_diesel",2011-07-01,21472,112658.3,20178
"coal",2011-07-01,2725441.4575,9607051.394,2301311.32231667
"natural_gas",2011-07-01,0,1567311.368,0
"oil",2011-07-01,75127.9437,102508.34,206992.018033333
"oil_and_natural_gas",2011-07-01,31600,65888,82266.6666666667
"bio_oil_and_diesel",2011-08-01,22715,116750.6,21233
"coal",2011-08-01,2989965.0006,9557836.752,2424834.9197
"natural_gas",2011-08-01,0,1520130.243,0
"oil",2011-08-01,37043.9973,46040.284,135016.149883333
"oil_and_natural_gas",2011-08-01,59500,87788,73450
"bio_oil_and_diesel",2011-09-01,19136,105784.9,20878.6666666667
"coal",2011-09-01,2808739.7703,8819140.194,2486902.89423333
"natural_gas",2011-09-01,0,1673191.309,0
"oil",2011-09-01,145599.6447,273110.171,128123.201866667
"oil_and_natural_gas",2011-09-01,89800,195527,61466.6666666667
"bio_oil_and_diesel",2011-10-01,13037,67976.1,19589.8333333333
"coal",2011-10-01,3064386.7694,9609025.425,2666189.03531667
"natural_gas",2011-10-01,0,1376919.203,0
"oil",2011-10-01,24142.222,84896.248,85542.60605
"oil_and_natural_gas",2011-10-01,23600,84842,49850
"bio_oil_and_diesel",2011-11-01,16895,107309.5,19092.3333333333
"coal",2011-11-01,2958818.3117,9031969.142,2833931.35358333
"natural_gas",2011-11-01,0,1718918.992,0
"oil",2011-11-01,59479.8429,103238.337,92220.8697666667
"oil_and_natural_gas",2011-11-01,66100,187186,58700
"bio_oil_and_diesel",2011-12-01,18088,115584.6,18557.1666666667
"coal",2011-12-01,2865451.4114,9678002.772,2902133.78681667
"natural_gas",2011-12-01,0,2427947.947,0
"oil",2011-12-01,249087.2046,325193.508,98413.4758666667
"oil_and_natural_gas",2011-12-01,123000,315707,65600
